title,description,date,label
What do Americans think of Trump's foreign policies?,"In his first few weeks back in the Oval Office, US President Donald Trump made several extraordinary decisions on foreign policy.",,0
Royal Society of Biology mourns murdered scientist,Tributes have been paid to a London-based scientist who formerly worked for the Royal Society of Biology (RSB) after he was found murdered in northern Colombia.,,0
Can the US return man deported to El Salvador? Immigration lawyers think so,"On 12 March, Kilmar Abrego Garcia was driving home with his young son in Maryland when he was stopped by agents from US Immigration and Customs Enforcement (ICE).",,0
"At a glance: Trump's tariffs on China, EU and rest of the world",On 2 April US President Donald Trump announced a sweeping set of tariffs arguing that they would allow the United States to economically flourish.,,0
"'Black Mirror could just run and run', says Charlie Brooker",It's only been a couple of years since the last series of Charlie Brooker's dystopian Netflix show Black Mirror landed. But we're now living in an unpredictable world and a lot can happen in a short space of time.,,0
Menendez brothers feel 'hope' for parole after decades in jail,"For the first time in decades, Lyle and Erik Menendez say they are beginning to feel hope they could get parole. It is a shift in mindset for the brothers, who have spent more than 30 years behind bars for the murders of their parents in their Beverly Hills home.",,0
Trump's game of chicken over tariffs leaves world guessing,"A day before Donald Trump's ""reciprocal"" tariffs are scheduled to kick in, the US president appears locked in a high-stakes game of chicken, with the world's economy hanging in the balance.",,0
Government considers nationalising British Steel,The government is considering nationalising British Steel as fears grow among ministers that the company's blast furnaces in Scunthorpe could run out of raw materials within days.,,0
Is the world heading into recession?,"US President Donald Trump's tariffs have ignited wildfires across global stock markets, but does that mean we are heading for a recession?",,0
Trump threatens new 50% tariffs on China,"Donald Trump has threatened China with an extra 50% tariff on goods imported into the US if it does not withdraw its 34% counter-tariff, as global markets continue to fall.",,0
Government rejects 'buy British' campaign to combat tariffs,"Downing Streethas declined to officially back a ""buy British"" campaign in response to Donald Trump's tariffs.",,0
Billionaire Trump backer warns of 'economic nuclear winter' over tariffs,"A billionaire backer of Donald Trump has urged the US president to pause his recently announced trade tariffs, or risk ""a self-induced, economic nuclear winter"".",,0
