"title","description","label"
"Trump rips up rulebook on trade and businesses are left reeling","US President Donald Trump is ripping up the rulebook on trade that has been in place for more than 50 years.","0"
"Titanic scan reveals ground-breaking details of ship's final hours","A detailed analysis of a full-sized digital scan of the Titanic has revealed new insight into the doomed liner's final hours.","0"
"Blondie's Clem Burke played crucial role in drumming study","Clem Burke, the drummer for 1970s band Blondie, has died aged 70 following a ""private battle with cancer"", the band's spokesperson has confirmed.","0"
"India cuts rates as Trump's tariffs put growth at risk","India's central bank has cut interest rates by 0.25% amid a spate of downgrades to growth following Donald Trump's tariff announcements.","0"
"NewsNews","A local mayor in Colombia offers a cash reward to help find Alessandro Coatti’s killers.","0"
"Dozens dead in floods in DR Congo capital","Torrential rains and floods have killed at least 33 people in Kinshasa - the capital of the Democratic Republic of Congo - according to officials.","0"
"Trump's tariffs are a blow for Vietnam's economic ambitions","US President Donald Trump's sweeping tariffs targeting most of the world are now in effect – and outside China, no other region has been hit as hard as South East Asia.","0"
"Ukraine captures two Chinese nationals fighting for Russia","Ukrainian forces have captured two Chinese nationals who were fighting for the Russian army in eastern Ukraine's Donetsk region, President Volodymyr Zelensky has said.","0"
"BBC Verify analyses video showing Israel's killing of Gaza medics","The Israeli military's killing of 15 emergency workers has drawn international condemnation. BBC Verify's Merlyn Thomas examines new footage published by the Palestinian Red Crescent.","0"
"What would a US-China trade war do to the world economy?","A full-scale trade war with China and the US is in prospect after President Donald Trump imposed tariffs of more than 100% on Chinese goods imports.","0"
"Prince Harry arrives at court to challenge decision on UK protection","Prince Harry has arrived at the Court of Appeal in London to contest a decision to downgrade his security protection while in the UK.","0"
"What are tariffs and why is Trump using them?","US President Donald Trump's latest sweeping tariffs against America's trading partners have taken effect.","0"
"AI chips not ice creams - minister's dig at Indian start-ups sparks debate","India's Commerce Minister Piyush Goyal's recent comments about the country's start-up ecosystem have sparked a massive debate on social media and evoked strong reactions from some entrepreneurs.","0"
"Gaza is a 'killing field', says UN chief, as agencies urge world to act on Israel's blockade","The UN's secretary-general says ""aid has dried up [and] the floodgates of horror have re-opened"" in the Gaza Strip, where Israel has blocked the entry of all goods and resumed the war against Hamas.","0"
"Faulty antenna played role in fatal Australian helicopter crash","A faulty radio antenna contributed to a deadly mid-air helicopter collision at an Australian theme park and resort, transport safety officials say.","0"
"UK investigating claims green fuel contains virgin palm oil","The UK government is investigating a fast-growing ""green fuel"" called HVO diesel amid claims of significant fraud, the BBC has learned.","0"
"Germany wary of claims Russian influence behind attacks","German security officials say they are carefully examining possible indications of foreign finance or influence in a series of attacks in German cities in the past year.","0"
"US and Iran still far apart ahead of nuclear talks","Donald Trump is a man in a hurry.","0"
"The Canadians and Danes boycotting American products","Todd Brayman is no longer buying his favourite red wine, which is from California.","0"
"Europe's first Universal theme park coming to UK","The first Universal theme park in Europe will be built in the UK, the government has promised.","0"
"Tracking the world's major cocaine route to Europe - and why it's growing","""The Albanian mafia would call me and say: 'We want to send 500kg of drugs.' If you don't accept, they kill you.""","0"
"Iran says it is ready for nuclear deal if US stops military threats","Iran is ready to engage with the US at talks on Saturday over its nuclear programme ""with a view to seal a deal"", its Foreign Minister Abbas Araghchi has said.","0"
